Comment,Designator,Footprint,LCSC
SW_Push,SW1,SW_SPST_SKQG_WithStem,C115351
1u,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C116352
PRTR5V0U2X,U1,SOT143B,C12333
22,"R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C150390
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
22p,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1804
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C258944
ATmega32U4-M,U2,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
0.1u,"C4,C5,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C62912
500m,F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C70069
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D9",D_SOD-123,C81598
5.1k,"R3,R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C84375
10k,"R5,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C84376
10u,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C95841
MX-NoLED,MX5-1,MXOnly-1U-NoLED,
MX-NoLED,MX2-5,MXOnly-1U-NoLED,
MX-NoLED,MX2-10,MXOnly-1U-NoLED,
MX-NoLED,MX4-4,MXOnly-1U-NoLED,
MX-NoLED,MX2-11,MXOnly-1U-NoLED,
MX-NoLED,MX3-11,MXOnly-1U-NoLED,
MX-NoLED,MX3-12,MXOnly-1U-NoLED,
MX-NoLED,MX0-12,MXOnly-1U-NoLED,
MX-NoLED,MX4-5,MXOnly-1U-NoLED,
MX-NoLED,MX2-3,MXOnly-1U-NoLED,
MX-NoLED,MX5-3,MXOnly-1U-NoLED,
MX-NoLED,MX2-2,MXOnly-1U-NoLED,
MX-NoLED,MX4-11,MXOnly-1U-NoLED,
MX-NoLED,MX1-12,MXOnly-1U-NoLED,
MX-NoLED,MX1-6,MXOnly-1U-NoLED,
MX-NoLED,MX0-5,MXOnly-1U-NoLED,
MX-NoLED,MX5-11,MXOnly-1.25U-NoLED,
MX-NoLED,MX2-14,MXOnly-1.5U-NoLED,
MX-NoLED,MX1-13,MXOnly-1U-NoLED,
MX-NoLED,MX4-7,MXOnly-1U-NoLED,
MX-NoLED,MX5-7,MXOnly-6.25U-ReversedStabilizers-NoLED,
MX-NoLED,MX1-14,MXOnly-2U-NoLED,
MX-NoLED,MX2-9,MXOnly-1U-NoLED,
MX-NoLED,MX0-3,MXOnly-1U-NoLED,
MX-NoLED,MX1-4,MXOnly-1U-NoLED,
MX-NoLED,MX1-9,MXOnly-1U-NoLED,
MX-NoLED,MX4-10,MXOnly-1U-NoLED,
MX-NoLED,MX0-8,MXOnly-1U-NoLED,
MX-NoLED,MX4-3,MXOnly-1U-NoLED,
MX-NoLED,MX5-13,MXOnly-1.25U-NoLED,
MX-NoLED,MX3-6,MXOnly-1U-NoLED,
MX-NoLED,MX2-12,MXOnly-1U-NoLED,
MX-NoLED,MX0-11,MXOnly-1U-NoLED,
MX-NoLED,MX4-12,MXOnly-1U-NoLED,
MX-NoLED,MX4-14,MXOnly-2.75U-NoLED,
MX-NoLED,MX2-8,MXOnly-1U-NoLED,
MX-NoLED,MX4-8,MXOnly-1U-NoLED,
MX-NoLED,MX3-2,MXOnly-1U-NoLED,
MX-NoLED,MX0-10,MXOnly-1U-NoLED,
MX-NoLED,MX4-6,MXOnly-1U-NoLED,
MX-NoLED,MX2-7,MXOnly-1U-NoLED,
MX-NoLED,MX3-1,MXOnly-1.75U-NoLED,
MX-NoLED,MX1-1,MXOnly-1U-NoLED,
MX-NoLED,MX2-0,MXOnly-1U-NoLED,
MX-NoLED,MX5-2,MXOnly-1U-NoLED,
MX-NoLED,MX5-4,MXOnly-1U-NoLED,
MX-NoLED,MX3-5,MXOnly-1U-NoLED,
MX-NoLED,MX0-7,MXOnly-1U-NoLED,
MX-NoLED,MX0-2,MXOnly-1U-NoLED,
MX-NoLED,MX4-0,MXOnly-1U-NoLED,
MX-NoLED,MX3-3,MXOnly-1U-NoLED,
MX-NoLED,MX2-1,MXOnly-1.5U-NoLED,
MX-NoLED,MX1-7,MXOnly-1U-NoLED,
MX-NoLED,MX2-13,MXOnly-1U-NoLED,
MX-NoLED,MX3-9,MXOnly-1U-NoLED,
MX-NoLED,MX4-1,MXOnly-1U-NoLED,
MX-NoLED,MX4-9,MXOnly-1U-NoLED,
MX-NoLED,MX2-4,MXOnly-1U-NoLED,
MX-NoLED,MX3-4,MXOnly-1U-NoLED,
MX-NoLED,MX5-12,MXOnly-1.25U-NoLED,
MX-NoLED,MX1-3,MXOnly-1U-NoLED,
MX-NoLED,MX2-6,MXOnly-1U-NoLED,
MX-NoLED,MX3-8,MXOnly-1U-NoLED,
MX-NoLED,MX1-0,MXOnly-1U-NoLED,
MX-NoLED,MX0-13,MXOnly-1U-NoLED,
MX-NoLED,MX1-2,MXOnly-1U-NoLED,
MX-NoLED,MX0-6,MXOnly-1U-NoLED,
MX-NoLED,MX3-7,MXOnly-1U-NoLED,
MX-NoLED,MX3-14,MXOnly-2.25U-NoLED,
MX-NoLED,MX3-0,MXOnly-1U-NoLED,
MX-NoLED,MX1-11,MXOnly-1U-NoLED,
MX-NoLED,MX5-0,MXOnly-1U-NoLED,
MX-NoLED,MX1-8,MXOnly-1U-NoLED,
MX-NoLED,MX1-10,MXOnly-1U-NoLED,
MX-NoLED,MX5-14,MXOnly-1U-NoLED,
MX-NoLED,MX0-4,MXOnly-1U-NoLED,
MX-NoLED,MX0-1,MXOnly-1U-NoLED,
MX-NoLED,MX0-0,MXOnly-1U-NoLED,
MX-NoLED,MX1-5,MXOnly-1U-NoLED,
MX-NoLED,MX4-2,MXOnly-1.25U-NoLED,
MX-NoLED,MX3-10,MXOnly-1U-NoLED,
